value,date
27.3099,2017-01-01 00:00:00
27.320826,2017-01-01 00:01:00
27.309969,2017-01-01 00:02:00
27.320236,2017-01-01 00:03:00
27.311525,2017-01-01 00:04:00
27.319376,2017-01-01 00:05:00
27.313112,2017-01-01 00:06:00
27.31876,2017-01-01 00:07:00
27.312126,2017-01-01 00:08:00
27.317991,2017-01-01 00:09:00
27.313435,2017-01-01 00:10:00
27.318073,2017-01-01 00:11:00
27.314041,2017-01-01 00:12:00
27.316967,2017-01-01 00:13:00
27.315636,2017-01-01 00:14:00
27.316376,2017-01-01 00:15:00
27.315182,2017-01-01 00:16:00
27.317905,2017-01-01 00:17:00
27.313759,2017-01-01 00:18:00
27.316971,2017-01-01 00:19:00
27.313995,2017-01-01 00:20:00
27.318155,2017-01-01 00:21:00
27.314306,2017-01-01 00:22:00
27.316883,2017-01-01 00:23:00
27.315947,2017-01-01 00:24:00
27.317381,2017-01-01 00:25:00
27.314631,2017-01-01 00:26:00
27.315432,2017-01-01 00:27:00
27.314802,2017-01-01 00:28:00
27.316238,2017-01-01 00:29:00
27.314020000000006,2017-01-01 00:30:00
27.315224,2017-01-01 00:31:00
27.316942,2017-01-01 00:32:00
27.315884000000004,2017-01-01 00:33:00
27.315405,2017-01-01 00:34:00
27.314114,2017-01-01 00:35:00
27.31605,2017-01-01 00:36:00
27.315313,2017-01-01 00:37:00
27.315277,2017-01-01 00:38:00
27.315104,2017-01-01 00:39:00
27.316162,2017-01-01 00:40:00
27.316092,2017-01-01 00:41:00
27.314983,2017-01-01 00:42:00
27.314405,2017-01-01 00:43:00
27.315811,2017-01-01 00:44:00
27.315012,2017-01-01 00:45:00
27.315825,2017-01-01 00:46:00
27.313963,2017-01-01 00:47:00
27.31633,2017-01-01 00:48:00
27.31436,2017-01-01 00:49:00
27.316797,2017-01-01 00:50:00
27.315191,2017-01-01 00:51:00
27.315718,2017-01-01 00:52:00
27.314271999999995,2017-01-01 00:53:00
27.317812,2017-01-01 00:54:00
27.314693,2017-01-01 00:55:00
27.31625,2017-01-01 00:56:00
27.315062,2017-01-01 00:57:00
27.316397,2017-01-01 00:58:00
27.315346,2017-01-01 00:59:00
20.637987,2017-01-01 01:00:00
20.638317,2017-01-01 01:01:00
20.638933,2017-01-01 01:02:00
20.639093,2017-01-01 01:03:00
20.63813,2017-01-01 01:04:00
20.638857,2017-01-01 01:05:00
20.638288,2017-01-01 01:06:00
20.63909,2017-01-01 01:07:00
20.637793,2017-01-01 01:08:00
20.638037,2017-01-01 01:09:00
20.638422,2017-01-01 01:10:00
20.640394,2017-01-01 01:11:00
20.63759,2017-01-01 01:12:00
20.638027,2017-01-01 01:13:00
20.63727,2017-01-01 01:14:00
20.639341,2017-01-01 01:15:00
20.637653,2017-01-01 01:16:00
20.639143,2017-01-01 01:17:00
20.637283,2017-01-01 01:18:00
20.638218,2017-01-01 01:19:00
20.63793,2017-01-01 01:20:00
20.638813,2017-01-01 01:21:00
20.638477,2017-01-01 01:22:00
20.639662,2017-01-01 01:23:00
20.638264000000003,2017-01-01 01:24:00
20.638803,2017-01-01 01:25:00
20.638203,2017-01-01 01:26:00
20.638988,2017-01-01 01:27:00
20.638361,2017-01-01 01:28:00
20.638033,2017-01-01 01:29:00
20.639071,2017-01-01 01:30:00
20.638927,2017-01-01 01:31:00
20.637934,2017-01-01 01:32:00
20.63884,2017-01-01 01:33:00
20.638735,2017-01-01 01:34:00
20.639549,2017-01-01 01:35:00
20.638094,2017-01-01 01:36:00
20.63932,2017-01-01 01:37:00
20.638432,2017-01-01 01:38:00
20.639961,2017-01-01 01:39:00
20.638689000000007,2017-01-01 01:40:00
20.638435,2017-01-01 01:41:00
20.638397,2017-01-01 01:42:00
20.639526,2017-01-01 01:43:00
20.638071,2017-01-01 01:44:00
20.637632,2017-01-01 01:45:00
20.63909,2017-01-01 01:46:00
20.639183,2017-01-01 01:47:00
20.638582,2017-01-01 01:48:00
20.638659,2017-01-01 01:49:00
20.637468,2017-01-01 01:50:00
20.638720000000006,2017-01-01 01:51:00
20.638384,2017-01-01 01:52:00
20.638397,2017-01-01 01:53:00
20.637985,2017-01-01 01:54:00
20.639107,2017-01-01 01:55:00
20.638554,2017-01-01 01:56:00
20.63859,2017-01-01 01:57:00
20.638193,2017-01-01 01:58:00
20.638271,2017-01-01 01:59:00
25.015827,2017-01-01 02:00:00
25.019091,2017-01-01 02:01:00
25.01544,2017-01-01 02:02:00
25.017813,2017-01-01 02:03:00
25.015043,2017-01-01 02:04:00
25.016668,2017-01-01 02:05:00
25.016506,2017-01-01 02:06:00
25.017361,2017-01-01 02:07:00
25.016153,2017-01-01 02:08:00
25.016865,2017-01-01 02:09:00
25.015795,2017-01-01 02:10:00
25.018147,2017-01-01 02:11:00
25.015879,2017-01-01 02:12:00
25.017895000000006,2017-01-01 02:13:00
25.017965,2017-01-01 02:14:00
25.017443,2017-01-01 02:15:00
25.016493,2017-01-01 02:16:00
25.017761,2017-01-01 02:17:00
25.016964,2017-01-01 02:18:00
25.016768,2017-01-01 02:19:00
25.016615,2017-01-01 02:20:00
25.016354,2017-01-01 02:21:00
25.016306,2017-01-01 02:22:00
25.016659,2017-01-01 02:23:00
25.017666,2017-01-01 02:24:00
25.014542,2017-01-01 02:25:00
25.01893,2017-01-01 02:26:00
25.015629,2017-01-01 02:27:00
25.016228,2017-01-01 02:28:00
25.016808,2017-01-01 02:29:00
25.016979,2017-01-01 02:30:00
25.01568,2017-01-01 02:31:00
25.015913,2017-01-01 02:32:00
25.016642,2017-01-01 02:33:00
25.017124,2017-01-01 02:34:00
25.016859,2017-01-01 02:35:00
25.016375,2017-01-01 02:36:00
25.015558,2017-01-01 02:37:00
25.016993,2017-01-01 02:38:00
25.016529,2017-01-01 02:39:00
25.016804,2017-01-01 02:40:00
25.016262,2017-01-01 02:41:00
25.015409,2017-01-01 02:42:00
25.015585,2017-01-01 02:43:00
25.016403,2017-01-01 02:44:00
25.015799,2017-01-01 02:45:00
25.016226,2017-01-01 02:46:00
25.016233,2017-01-01 02:47:00
25.016775,2017-01-01 02:48:00
25.01701,2017-01-01 02:49:00
25.016918,2017-01-01 02:50:00
25.016304,2017-01-01 02:51:00
25.016695,2017-01-01 02:52:00
25.015812,2017-01-01 02:53:00
25.017374,2017-01-01 02:54:00
25.016813,2017-01-01 02:55:00
25.016729,2017-01-01 02:56:00
25.016436,2017-01-01 02:57:00
25.015827,2017-01-01 02:58:00
25.016672,2017-01-01 02:59:00
20.022429,2017-01-01 03:00:00
20.026283,2017-01-01 03:01:00
20.023462,2017-01-01 03:02:00
20.025717,2017-01-01 03:03:00
20.023365,2017-01-01 03:04:00
20.026295,2017-01-01 03:05:00
20.022581,2017-01-01 03:06:00
20.024611,2017-01-01 03:07:00
20.020773,2017-01-01 03:08:00
20.025227,2017-01-01 03:09:00
20.024429,2017-01-01 03:10:00
20.025948,2017-01-01 03:11:00
20.024204,2017-01-01 03:12:00
