value,value,date
32.861561,32.861561,2017-01-01 01:58:00
32.861607,32.861607,2017-01-01 01:59:00
34.508793,34.508793,2017-01-01 02:00:00
34.508701,34.508701,2017-01-01 02:01:00
34.508701,34.508701,2017-01-01 02:02:00
34.508732,34.508732,2017-01-01 02:03:00
34.508717,34.508717,2017-01-01 02:04:00
34.508717,34.508717,2017-01-01 02:05:00
34.508724,34.508724,2017-01-01 02:06:00
34.508694,34.508694,2017-01-01 02:07:00
34.508747,34.508747,2017-01-01 02:08:00
34.508713,34.508713,2017-01-01 02:09:00
34.508762,34.508762,2017-01-01 02:10:00
34.508686,34.508686,2017-01-01 02:11:00
34.508720000000004,34.508720000000004,2017-01-01 02:12:00
34.508709,34.508709,2017-01-01 02:13:00
34.508736,34.508736,2017-01-01 02:14:00
34.508743,34.508743,2017-01-01 02:15:00
34.508732,34.508732,2017-01-01 02:16:00
34.508739,34.508739,2017-01-01 02:17:00
34.508682,34.508682,2017-01-01 02:18:00
34.508724,34.508724,2017-01-01 02:19:00
34.508675,34.508675,2017-01-01 02:20:00
34.508697999999995,34.508697999999995,2017-01-01 02:21:00
34.508709,34.508709,2017-01-01 02:22:00
34.508678,34.508678,2017-01-01 02:23:00
34.50869,34.50869,2017-01-01 02:24:00
34.508675,34.508675,2017-01-01 02:25:00
34.508765999999994,34.508765999999994,2017-01-01 02:26:00
34.508694,34.508694,2017-01-01 02:27:00
34.508724,34.508724,2017-01-01 02:28:00
34.508724,34.508724,2017-01-01 02:29:00
34.508709,34.508709,2017-01-01 02:30:00
34.508697999999995,34.508697999999995,2017-01-01 02:31:00
34.508705,34.508705,2017-01-01 02:32:00
34.508717,34.508717,2017-01-01 02:33:00
34.508701,34.508701,2017-01-01 02:34:00
34.508694,34.508694,2017-01-01 02:35:00
34.508724,34.508724,2017-01-01 02:36:00
34.508717,34.508717,2017-01-01 02:37:00
34.508732,34.508732,2017-01-01 02:38:00
34.50877,34.50877,2017-01-01 02:39:00
34.508656,34.508656,2017-01-01 02:40:00
34.508755,34.508755,2017-01-01 02:41:00
34.50869,34.50869,2017-01-01 02:42:00
34.508728000000005,34.508728000000005,2017-01-01 02:43:00
34.508709,34.508709,2017-01-01 02:44:00
34.508755,34.508755,2017-01-01 02:45:00
34.508663,34.508663,2017-01-01 02:46:00
34.508713,34.508713,2017-01-01 02:47:00
34.508747,34.508747,2017-01-01 02:48:00
34.508697999999995,34.508697999999995,2017-01-01 02:49:00
34.508713,34.508713,2017-01-01 02:50:00
34.508724,34.508724,2017-01-01 02:51:00
34.508713,34.508713,2017-01-01 02:52:00
34.50877,34.50877,2017-01-01 02:53:00
34.508697999999995,34.508697999999995,2017-01-01 02:54:00
34.508762,34.508762,2017-01-01 02:55:00
34.508720000000004,34.508720000000004,2017-01-01 02:56:00
34.508720000000004,34.508720000000004,2017-01-01 02:57:00
34.508705,34.508705,2017-01-01 02:58:00
34.508751000000004,34.508751000000004,2017-01-01 02:59:00
33.584251,33.584251,2017-01-01 03:00:00
33.584167,33.584167,2017-01-01 03:01:00
33.584270000000004,33.584270000000004,2017-01-01 03:02:00
33.584229,33.584229,2017-01-01 03:03:00
33.584232,33.584232,2017-01-01 03:04:00
33.584179,33.584179,2017-01-01 03:05:00
33.584270000000004,33.584270000000004,2017-01-01 03:06:00
33.584255,33.584255,2017-01-01 03:07:00
33.58419,33.58419,2017-01-01 03:08:00
33.584244,33.584244,2017-01-01 03:09:00
33.584247999999995,33.584247999999995,2017-01-01 03:10:00
33.58424,33.58424,2017-01-01 03:11:00
33.584209,33.584209,2017-01-01 03:12:00
33.584236,33.584236,2017-01-01 03:13:00
33.584232,33.584232,2017-01-01 03:14:00
33.584255,33.584255,2017-01-01 03:15:00
33.58424,33.58424,2017-01-01 03:16:00
33.584244,33.584244,2017-01-01 03:17:00
33.584244,33.584244,2017-01-01 03:18:00
