value,date
207.16876,2017-01-01 00:00:00
207.17804,2017-01-01 00:01:00
207.16904,2017-01-01 00:02:00
207.17700000000002,2017-01-01 00:03:00
207.16977,2017-01-01 00:04:00
207.17731,2017-01-01 00:05:00
207.17009,2017-01-01 00:06:00
207.17599,2017-01-01 00:07:00
207.16945,2017-01-01 00:08:00
207.17705,2017-01-01 00:09:00
207.17152,2017-01-01 00:10:00
207.17525,2017-01-01 00:11:00
207.17003,2017-01-01 00:12:00
207.17659,2017-01-01 00:13:00
207.17075,2017-01-01 00:14:00
207.17525,2017-01-01 00:15:00
207.1716,2017-01-01 00:16:00
207.17508,2017-01-01 00:17:00
207.17162,2017-01-01 00:18:00
207.17436,2017-01-01 00:19:00
207.17105,2017-01-01 00:20:00
207.17566,2017-01-01 00:21:00
207.17073,2017-01-01 00:22:00
207.17598,2017-01-01 00:23:00
207.1712,2017-01-01 00:24:00
207.17462,2017-01-01 00:25:00
207.16988,2017-01-01 00:26:00
207.17612,2017-01-01 00:27:00
207.17039,2017-01-01 00:28:00
207.17616,2017-01-01 00:29:00
207.17111,2017-01-01 00:30:00
207.1747,2017-01-01 00:31:00
207.16953,2017-01-01 00:32:00
207.1757,2017-01-01 00:33:00
207.17148,2017-01-01 00:34:00
207.17538,2017-01-01 00:35:00
207.17099,2017-01-01 00:36:00
207.17702,2017-01-01 00:37:00
207.17072,2017-01-01 00:38:00
207.17679,2017-01-01 00:39:00
207.17157,2017-01-01 00:40:00
207.17537,2017-01-01 00:41:00
207.17166,2017-01-01 00:42:00
207.17471,2017-01-01 00:43:00
207.17139,2017-01-01 00:44:00
207.17502,2017-01-01 00:45:00
207.17012,2017-01-01 00:46:00
207.17519,2017-01-01 00:47:00
207.1716,2017-01-01 00:48:00
207.175,2017-01-01 00:49:00
207.17226,2017-01-01 00:50:00
207.17628,2017-01-01 00:51:00
207.17073,2017-01-01 00:52:00
207.17575,2017-01-01 00:53:00
207.17139,2017-01-01 00:54:00
207.17471,2017-01-01 00:55:00
207.17067,2017-01-01 00:56:00
207.17599,2017-01-01 00:57:00
207.17226,2017-01-01 00:58:00
207.17519,2017-01-01 00:59:00
157.55033999999995,2017-01-01 01:00:00
157.55351000000005,2017-01-01 01:01:00
157.55093,2017-01-01 01:02:00
157.55338999999995,2017-01-01 01:03:00
157.54897,2017-01-01 01:04:00
157.55295,2017-01-01 01:05:00
157.55086,2017-01-01 01:06:00
157.55299,2017-01-01 01:07:00
157.55127,2017-01-01 01:08:00
157.55255,2017-01-01 01:09:00
157.55173,2017-01-01 01:10:00
157.55171,2017-01-01 01:11:00
157.55209,2017-01-01 01:12:00
157.55275,2017-01-01 01:13:00
157.55098,2017-01-01 01:14:00
157.55154,2017-01-01 01:15:00
157.55159,2017-01-01 01:16:00
157.55206,2017-01-01 01:17:00
157.55142,2017-01-01 01:18:00
157.55183,2017-01-01 01:19:00
157.55264,2017-01-01 01:20:00
157.55188,2017-01-01 01:21:00
157.55123999999995,2017-01-01 01:22:00
157.55223,2017-01-01 01:23:00
157.55112,2017-01-01 01:24:00
157.55176,2017-01-01 01:25:00
157.55161,2017-01-01 01:26:00
157.55312,2017-01-01 01:27:00
157.55112,2017-01-01 01:28:00
157.55199,2017-01-01 01:29:00
157.55171,2017-01-01 01:30:00
157.55267,2017-01-01 01:31:00
157.55196,2017-01-01 01:32:00
157.55205,2017-01-01 01:33:00
157.55199,2017-01-01 01:34:00
157.55164,2017-01-01 01:35:00
157.55213999999995,2017-01-01 01:36:00
157.55023,2017-01-01 01:37:00
157.5526,2017-01-01 01:38:00
157.55109,2017-01-01 01:39:00
157.55248999999995,2017-01-01 01:40:00
157.55121,2017-01-01 01:41:00
157.55255,2017-01-01 01:42:00
157.55109,2017-01-01 01:43:00
157.55318,2017-01-01 01:44:00
157.55118000000004,2017-01-01 01:45:00
157.55272,2017-01-01 01:46:00
157.5522,2017-01-01 01:47:00
157.55135,2017-01-01 01:48:00
157.55266,2017-01-01 01:49:00
157.55078,2017-01-01 01:50:00
157.55206,2017-01-01 01:51:00
157.55188,2017-01-01 01:52:00
157.55164,2017-01-01 01:53:00
157.55303999999995,2017-01-01 01:54:00
157.5507,2017-01-01 01:55:00
157.55307,2017-01-01 01:56:00
157.55238,2017-01-01 01:57:00
157.5518,2017-01-01 01:58:00
157.55038000000005,2017-01-01 01:59:00
115.70111,2017-01-01 02:00:00
115.7036,2017-01-01 02:01:00
115.70284,2017-01-01 02:02:00
115.70201000000002,2017-01-01 02:03:00
115.70263,2017-01-01 02:04:00
115.70296,2017-01-01 02:05:00
115.70219,2017-01-01 02:06:00
115.70352,2017-01-01 02:07:00
115.70229,2017-01-01 02:08:00
115.70275,2017-01-01 02:09:00
115.7022,2017-01-01 02:10:00
115.7029,2017-01-01 02:11:00
115.70296,2017-01-01 02:12:00
115.70303,2017-01-01 02:13:00
115.70251,2017-01-01 02:14:00
115.70224,2017-01-01 02:15:00
115.70255,2017-01-01 02:16:00
115.70212,2017-01-01 02:17:00
115.70325,2017-01-01 02:18:00
115.7029,2017-01-01 02:19:00
115.70432,2017-01-01 02:20:00
115.70252,2017-01-01 02:21:00
115.70248,2017-01-01 02:22:00
115.70399,2017-01-01 02:23:00
115.70413,2017-01-01 02:24:00
115.70441,2017-01-01 02:25:00
115.70224,2017-01-01 02:26:00
115.70292,2017-01-01 02:27:00
115.70196,2017-01-01 02:28:00
115.70304,2017-01-01 02:29:00
115.70328,2017-01-01 02:30:00
115.70277,2017-01-01 02:31:00
115.70263,2017-01-01 02:32:00
115.70277,2017-01-01 02:33:00
115.70341,2017-01-01 02:34:00
115.70275,2017-01-01 02:35:00
115.70248,2017-01-01 02:36:00
115.70287,2017-01-01 02:37:00
115.70249,2017-01-01 02:38:00
115.7004,2017-01-01 02:39:00
115.70435,2017-01-01 02:40:00
115.70108,2017-01-01 02:41:00
115.70377,2017-01-01 02:42:00
115.70235,2017-01-01 02:43:00
115.70309,2017-01-01 02:44:00
115.70100000000001,2017-01-01 02:45:00
115.70358,2017-01-01 02:46:00
115.70242,2017-01-01 02:47:00
115.70212,2017-01-01 02:48:00
115.70406,2017-01-01 02:49:00
115.70138,2017-01-01 02:50:00
115.70326,2017-01-01 02:51:00
115.70273,2017-01-01 02:52:00
115.70158,2017-01-01 02:53:00
115.70228,2017-01-01 02:54:00
115.70182,2017-01-01 02:55:00
115.70174,2017-01-01 02:56:00
115.70319,2017-01-01 02:57:00
115.7021,2017-01-01 02:58:00
115.70185,2017-01-01 02:59:00
158.61183,2017-01-01 03:00:00
158.61581,2017-01-01 03:01:00
158.61165,2017-01-01 03:02:00
158.61423,2017-01-01 03:03:00
158.61248999999995,2017-01-01 03:04:00
158.61539,2017-01-01 03:05:00
158.61185,2017-01-01 03:06:00
158.61438,2017-01-01 03:07:00
158.61382,2017-01-01 03:08:00
158.61371,2017-01-01 03:09:00
158.6129,2017-01-01 03:10:00
158.61324,2017-01-01 03:11:00
158.61368000000004,2017-01-01 03:12:00
158.61385,2017-01-01 03:13:00
158.61308,2017-01-01 03:14:00
158.61258999999995,2017-01-01 03:15:00
158.61365,2017-01-01 03:16:00
158.61417,2017-01-01 03:17:00
158.61311,2017-01-01 03:18:00
158.61391,2017-01-01 03:19:00
158.61307,2017-01-01 03:20:00
158.6134,2017-01-01 03:21:00
158.61333,2017-01-01 03:22:00
158.61397,2017-01-01 03:23:00
158.61375,2017-01-01 03:24:00
158.61301,2017-01-01 03:25:00
158.61415,2017-01-01 03:26:00
158.61348999999996,2017-01-01 03:27:00
158.61441000000005,2017-01-01 03:28:00
158.61418,2017-01-01 03:29:00
158.61406000000005,2017-01-01 03:30:00
158.61372,2017-01-01 03:31:00
158.61299,2017-01-01 03:32:00
158.61283999999995,2017-01-01 03:33:00
158.6136,2017-01-01 03:34:00
158.61258,2017-01-01 03:35:00
158.61395,2017-01-01 03:36:00
158.61331,2017-01-01 03:37:00
158.61292,2017-01-01 03:38:00
158.61218,2017-01-01 03:39:00
158.61353,2017-01-01 03:40:00
158.61359,2017-01-01 03:41:00
158.61317,2017-01-01 03:42:00
158.61463999999995,2017-01-01 03:43:00
158.61342,2017-01-01 03:44:00
158.61279,2017-01-01 03:45:00
158.61328,2017-01-01 03:46:00
158.61392,2017-01-01 03:47:00
158.61303999999996,2017-01-01 03:48:00
158.61261000000005,2017-01-01 03:49:00
158.6132,2017-01-01 03:50:00
158.61308,2017-01-01 03:51:00
158.61296000000004,2017-01-01 03:52:00
158.6129,2017-01-01 03:53:00
158.61421,2017-01-01 03:54:00
158.61288000000005,2017-01-01 03:55:00
158.61313,2017-01-01 03:56:00
158.61311,2017-01-01 03:57:00
158.61433,2017-01-01 03:58:00
158.61237,2017-01-01 03:59:00
186.92587,2017-01-01 04:00:00
186.92723,2017-01-01 04:01:00
186.92603,2017-01-01 04:02:00
186.92586,2017-01-01 04:03:00
186.92647,2017-01-01 04:04:00
186.9256,2017-01-01 04:05:00
186.92635,2017-01-01 04:06:00
186.92564,2017-01-01 04:07:00
186.92578,2017-01-01 04:08:00
186.92651,2017-01-01 04:09:00
186.92642,2017-01-01 04:10:00
186.92677,2017-01-01 04:11:00
186.92641,2017-01-01 04:12:00
186.92664,2017-01-01 04:13:00
186.92664,2017-01-01 04:14:00
186.92702,2017-01-01 04:15:00
186.92645,2017-01-01 04:16:00
186.92625,2017-01-01 04:17:00
186.92644,2017-01-01 04:18:00
186.92583,2017-01-01 04:19:00
186.92708,2017-01-01 04:20:00
186.92569,2017-01-01 04:21:00
186.92694,2017-01-01 04:22:00
186.92612,2017-01-01 04:23:00
186.92709,2017-01-01 04:24:00
186.92563,2017-01-01 04:25:00
186.92632,2017-01-01 04:26:00
186.92715,2017-01-01 04:27:00
186.92642,2017-01-01 04:28:00
186.92554,2017-01-01 04:29:00
186.92688,2017-01-01 04:30:00
186.92654,2017-01-01 04:31:00
186.92696,2017-01-01 04:32:00
186.92603,2017-01-01 04:33:00
186.92674,2017-01-01 04:34:00
186.92624,2017-01-01 04:35:00
186.92572,2017-01-01 04:36:00
186.92595,2017-01-01 04:37:00
186.92694,2017-01-01 04:38:00
186.92554,2017-01-01 04:39:00
186.92775,2017-01-01 04:40:00
186.92441,2017-01-01 04:41:00
186.92674,2017-01-01 04:42:00
186.9256,2017-01-01 04:43:00
186.9269,2017-01-01 04:44:00
186.92638,2017-01-01 04:45:00
186.92751,2017-01-01 04:46:00
186.92595,2017-01-01 04:47:00
186.92592,2017-01-01 04:48:00
186.92574,2017-01-01 04:49:00
186.92714,2017-01-01 04:50:00
186.92754,2017-01-01 04:51:00
186.92754,2017-01-01 04:52:00
186.92717,2017-01-01 04:53:00
186.92622,2017-01-01 04:54:00
186.92816,2017-01-01 04:55:00
186.92682,2017-01-01 04:56:00
186.92633,2017-01-01 04:57:00
186.9263,2017-01-01 04:58:00
186.92674,2017-01-01 04:59:00
252.46896,2017-01-01 05:00:00
252.46989,2017-01-01 05:01:00
252.46941,2017-01-01 05:02:00
252.4696,2017-01-01 05:03:00
252.47014,2017-01-01 05:04:00
252.46942,2017-01-01 05:05:00
252.47009,2017-01-01 05:06:00
252.4682,2017-01-01 05:07:00
252.47028,2017-01-01 05:08:00
252.46956,2017-01-01 05:09:00
252.47009,2017-01-01 05:10:00
252.46907,2017-01-01 05:11:00
252.46973,2017-01-01 05:12:00
252.46962,2017-01-01 05:13:00
252.46912000000003,2017-01-01 05:14:00
252.47017,2017-01-01 05:15:00
252.46899,2017-01-01 05:16:00
252.46948,2017-01-01 05:17:00
252.46948,2017-01-01 05:18:00
252.4698,2017-01-01 05:19:00
252.46954,2017-01-01 05:20:00
252.47037000000003,2017-01-01 05:21:00
252.46858,2017-01-01 05:22:00
252.4695,2017-01-01 05:23:00
252.46837,2017-01-01 05:24:00
252.4705,2017-01-01 05:25:00
252.46817,2017-01-01 05:26:00
252.47075,2017-01-01 05:27:00
252.46829,2017-01-01 05:28:00
252.47041,2017-01-01 05:29:00
252.46739,2017-01-01 05:30:00
252.4702,2017-01-01 05:31:00
252.46918,2017-01-01 05:32:00
252.47035,2017-01-01 05:33:00
252.46758,2017-01-01 05:34:00
252.47081,2017-01-01 05:35:00
252.4693,2017-01-01 05:36:00
252.46881,2017-01-01 05:37:00
252.47157,2017-01-01 05:38:00
252.46931,2017-01-01 05:39:00
252.46881,2017-01-01 05:40:00
252.46977,2017-01-01 05:41:00
252.46939,2017-01-01 05:42:00
252.46939,2017-01-01 05:43:00
252.47005,2017-01-01 05:44:00
252.4698,2017-01-01 05:45:00
252.46948,2017-01-01 05:46:00
252.46901,2017-01-01 05:47:00
252.46893,2017-01-01 05:48:00
252.47052,2017-01-01 05:49:00
252.46965,2017-01-01 05:50:00
252.46992000000003,2017-01-01 05:51:00
252.46947000000003,2017-01-01 05:52:00
252.46942,2017-01-01 05:53:00
252.46988,2017-01-01 05:54:00
252.46968,2017-01-01 05:55:00
252.46931,2017-01-01 05:56:00
252.46983,2017-01-01 05:57:00
252.46951,2017-01-01 05:58:00
252.46994,2017-01-01 05:59:00
224.96307,2017-01-01 06:00:00
224.96344,2017-01-01 06:01:00
224.96358,2017-01-01 06:02:00
224.96306,2017-01-01 06:03:00
224.96347000000003,2017-01-01 06:04:00
224.96286,2017-01-01 06:05:00
224.96356,2017-01-01 06:06:00
224.9632,2017-01-01 06:07:00
224.96271,2017-01-01 06:08:00
224.96324,2017-01-01 06:09:00
224.96419,2017-01-01 06:10:00
224.96394,2017-01-01 06:11:00
224.96306,2017-01-01 06:12:00
224.96341,2017-01-01 06:13:00
224.96408,2017-01-01 06:14:00
224.96304,2017-01-01 06:15:00
224.96458,2017-01-01 06:16:00
224.96359,2017-01-01 06:17:00
224.9633,2017-01-01 06:18:00
224.96239,2017-01-01 06:19:00
224.96399,2017-01-01 06:20:00
224.96422,2017-01-01 06:21:00
224.96509,2017-01-01 06:22:00
224.96191,2017-01-01 06:23:00
224.96461,2017-01-01 06:24:00
224.96213,2017-01-01 06:25:00
224.96413,2017-01-01 06:26:00
224.96275,2017-01-01 06:27:00
224.96393,2017-01-01 06:28:00
224.96336,2017-01-01 06:29:00
224.96422,2017-01-01 06:30:00
224.96304,2017-01-01 06:31:00
224.96376,2017-01-01 06:32:00
224.96326,2017-01-01 06:33:00
224.96393,2017-01-01 06:34:00
224.96228,2017-01-01 06:35:00
224.96432,2017-01-01 06:36:00
224.96239,2017-01-01 06:37:00
224.96417,2017-01-01 06:38:00
224.96278,2017-01-01 06:39:00
224.96452,2017-01-01 06:40:00
224.9624,2017-01-01 06:41:00
224.96465,2017-01-01 06:42:00
224.96167000000003,2017-01-01 06:43:00
224.96457,2017-01-01 06:44:00
224.96298,2017-01-01 06:45:00
224.96384,2017-01-01 06:46:00
224.96234,2017-01-01 06:47:00
224.96513,2017-01-01 06:48:00
224.96149,2017-01-01 06:49:00
224.96519,2017-01-01 06:50:00
224.96312000000003,2017-01-01 06:51:00
224.96404,2017-01-01 06:52:00
224.96336,2017-01-01 06:53:00
224.96396,2017-01-01 06:54:00
224.96358,2017-01-01 06:55:00
224.96361,2017-01-01 06:56:00
224.96323,2017-01-01 06:57:00
224.96455,2017-01-01 06:58:00
224.96400000000003,2017-01-01 06:59:00
201.87166,2017-01-01 07:00:00
201.87267,2017-01-01 07:01:00
201.87241,2017-01-01 07:02:00
201.87192,2017-01-01 07:03:00
201.87282,2017-01-01 07:04:00
201.87253,2017-01-01 07:05:00
201.87447,2017-01-01 07:06:00
201.87149,2017-01-01 07:07:00
201.87273,2017-01-01 07:08:00
201.87196,2017-01-01 07:09:00
201.87285,2017-01-01 07:10:00
201.87167,2017-01-01 07:11:00
201.87402,2017-01-01 07:12:00
201.87173,2017-01-01 07:13:00
201.87175,2017-01-01 07:14:00
201.8725,2017-01-01 07:15:00
201.87299,2017-01-01 07:16:00
201.87245,2017-01-01 07:17:00
201.87231,2017-01-01 07:18:00
201.87155,2017-01-01 07:19:00
201.8734,2017-01-01 07:20:00
201.87299,2017-01-01 07:21:00
201.87216,2017-01-01 07:22:00
201.87227,2017-01-01 07:23:00
201.87314,2017-01-01 07:24:00
201.87242,2017-01-01 07:25:00
201.87224,2017-01-01 07:26:00
201.87267,2017-01-01 07:27:00
201.8737,2017-01-01 07:28:00
201.87207,2017-01-01 07:29:00
201.87392,2017-01-01 07:30:00
201.87202,2017-01-01 07:31:00
201.87234,2017-01-01 07:32:00
201.87196,2017-01-01 07:33:00
201.87279,2017-01-01 07:34:00
201.8728,2017-01-01 07:35:00
201.87289,2017-01-01 07:36:00
201.87337,2017-01-01 07:37:00
201.87236,2017-01-01 07:38:00
201.87233,2017-01-01 07:39:00
201.87244,2017-01-01 07:40:00
201.87164,2017-01-01 07:41:00
201.87354,2017-01-01 07:42:00
201.8714,2017-01-01 07:43:00
201.87283,2017-01-01 07:44:00
201.87254,2017-01-01 07:45:00
201.87328,2017-01-01 07:46:00
201.87213,2017-01-01 07:47:00
201.87263,2017-01-01 07:48:00
201.87321,2017-01-01 07:49:00
201.87347,2017-01-01 07:50:00
201.8727,2017-01-01 07:51:00
201.87221,2017-01-01 07:52:00
201.87372,2017-01-01 07:53:00
201.87253,2017-01-01 07:54:00
201.87198,2017-01-01 07:55:00
201.87286,2017-01-01 07:56:00
201.87256,2017-01-01 07:57:00
201.87448,2017-01-01 07:58:00
201.87238,2017-01-01 07:59:00
168.57565,2017-01-01 08:00:00
168.57596,2017-01-01 08:01:00
168.5751,2017-01-01 08:02:00
168.57617,2017-01-01 08:03:00
168.57533,2017-01-01 08:04:00
168.57538,2017-01-01 08:05:00
168.57475,2017-01-01 08:06:00
168.57544,2017-01-01 08:07:00
168.57571000000004,2017-01-01 08:08:00
168.57469,2017-01-01 08:09:00
168.5753,2017-01-01 08:10:00
168.57368,2017-01-01 08:11:00
168.57616000000004,2017-01-01 08:12:00
168.5739,2017-01-01 08:13:00
168.57542,2017-01-01 08:14:00
168.57509,2017-01-01 08:15:00
168.57594,2017-01-01 08:16:00
168.57457,2017-01-01 08:17:00
168.5757,2017-01-01 08:18:00
168.5744,2017-01-01 08:19:00
168.57542,2017-01-01 08:20:00
168.57539,2017-01-01 08:21:00
168.57547,2017-01-01 08:22:00
168.57483,2017-01-01 08:23:00
168.57518000000005,2017-01-01 08:24:00
168.57558999999995,2017-01-01 08:25:00
168.57573,2017-01-01 08:26:00
168.57562,2017-01-01 08:27:00
168.57491000000005,2017-01-01 08:28:00
168.57498,2017-01-01 08:29:00
168.57545,2017-01-01 08:30:00
168.57518000000005,2017-01-01 08:31:00
168.57513,2017-01-01 08:32:00
168.57549,2017-01-01 08:33:00
168.57453999999996,2017-01-01 08:34:00
168.57573,2017-01-01 08:35:00
168.57521,2017-01-01 08:36:00
168.57461999999995,2017-01-01 08:37:00
168.57523,2017-01-01 08:38:00
168.57468,2017-01-01 08:39:00
168.57509,2017-01-01 08:40:00
168.5753,2017-01-01 08:41:00
168.5768,2017-01-01 08:42:00
168.57475,2017-01-01 08:43:00
168.57578999999996,2017-01-01 08:44:00
168.57623,2017-01-01 08:45:00
168.57527,2017-01-01 08:46:00
168.57492,2017-01-01 08:47:00
168.57515,2017-01-01 08:48:00
168.57475,2017-01-01 08:49:00
168.57483,2017-01-01 08:50:00
168.575,2017-01-01 08:51:00
168.57535,2017-01-01 08:52:00
168.57458,2017-01-01 08:53:00
168.57521,2017-01-01 08:54:00
168.57486,2017-01-01 08:55:00
168.57518000000005,2017-01-01 08:56:00
168.57451,2017-01-01 08:57:00
168.57736,2017-01-01 08:58:00
168.57498,2017-01-01 08:59:00
131.87053,2017-01-01 09:00:00
131.8699,2017-01-01 09:01:00
131.87027,2017-01-01 09:02:00
131.87035,2017-01-01 09:03:00
131.86928,2017-01-01 09:04:00
131.86995,2017-01-01 09:05:00
131.87004,2017-01-01 09:06:00
131.86983999999998,2017-01-01 09:07:00
131.86954,2017-01-01 09:08:00
131.87045,2017-01-01 09:09:00
131.87022,2017-01-01 09:10:00
131.87013000000002,2017-01-01 09:11:00
131.87057,2017-01-01 09:12:00
131.87061,2017-01-01 09:13:00
131.87039,2017-01-01 09:14:00
131.87117,2017-01-01 09:15:00
131.87042,2017-01-01 09:16:00
131.87108,2017-01-01 09:17:00
131.86938,2017-01-01 09:18:00
131.87103000000002,2017-01-01 09:19:00
131.86993,2017-01-01 09:20:00
131.87158,2017-01-01 09:21:00
131.86911,2017-01-01 09:22:00
131.86938,2017-01-01 09:23:00
131.87059,2017-01-01 09:24:00
131.8708,2017-01-01 09:25:00
131.8707,2017-01-01 09:26:00
131.86973999999998,2017-01-01 09:27:00
131.87007,2017-01-01 09:28:00
131.87106,2017-01-01 09:29:00
131.87,2017-01-01 09:30:00
131.87048,2017-01-01 09:31:00
131.86978,2017-01-01 09:32:00
131.871,2017-01-01 09:33:00
131.86973999999998,2017-01-01 09:34:00
131.8708,2017-01-01 09:35:00
131.86911,2017-01-01 09:36:00
131.87141,2017-01-01 09:37:00
131.8707,2017-01-01 09:38:00
131.87062,2017-01-01 09:39:00
131.86981,2017-01-01 09:40:00
131.86986000000002,2017-01-01 09:41:00
131.87016,2017-01-01 09:42:00
131.86993,2017-01-01 09:43:00
131.86916000000002,2017-01-01 09:44:00
131.87044,2017-01-01 09:45:00
131.87068,2017-01-01 09:46:00
131.86893999999998,2017-01-01 09:47:00
131.87118999999998,2017-01-01 09:48:00
131.87068,2017-01-01 09:49:00
131.87016,2017-01-01 09:50:00
131.87001,2017-01-01 09:51:00
131.86885,2017-01-01 09:52:00
131.87103000000002,2017-01-01 09:53:00
131.86909,2017-01-01 09:54:00
131.86972,2017-01-01 09:55:00
131.86844,2017-01-01 09:56:00
131.86978,2017-01-01 09:57:00
131.87073999999998,2017-01-01 09:58:00
131.87041000000002,2017-01-01 09:59:00
133.12126,2017-01-01 10:00:00
133.12253,2017-01-01 10:01:00
133.12132,2017-01-01 10:02:00
133.12273000000002,2017-01-01 10:03:00
133.12148,2017-01-01 10:04:00
133.12251,2017-01-01 10:05:00
133.12186,2017-01-01 10:06:00
133.12263000000002,2017-01-01 10:07:00
133.1226,2017-01-01 10:08:00
133.12271,2017-01-01 10:09:00
133.12198,2017-01-01 10:10:00
133.12273000000002,2017-01-01 10:11:00
133.12233999999998,2017-01-01 10:12:00
133.12161,2017-01-01 10:13:00
133.12288,2017-01-01 10:14:00
133.12187,2017-01-01 10:15:00
133.1226,2017-01-01 10:16:00
133.12236,2017-01-01 10:17:00
133.12233,2017-01-01 10:18:00
133.12305,2017-01-01 10:19:00
133.12221,2017-01-01 10:20:00
133.12333999999998,2017-01-01 10:21:00
133.12207,2017-01-01 10:22:00
133.1217,2017-01-01 10:23:00
133.12198,2017-01-01 10:24:00
133.123,2017-01-01 10:25:00
133.12198,2017-01-01 10:26:00
133.12146,2017-01-01 10:27:00
133.1223,2017-01-01 10:28:00
133.12251,2017-01-01 10:29:00
133.12196,2017-01-01 10:30:00
133.12204,2017-01-01 10:31:00
133.12202,2017-01-01 10:32:00
133.12164,2017-01-01 10:33:00
133.12198999999998,2017-01-01 10:34:00
133.12221,2017-01-01 10:35:00
133.12236,2017-01-01 10:36:00
133.1225,2017-01-01 10:37:00
133.12243999999998,2017-01-01 10:38:00
133.12238,2017-01-01 10:39:00
133.12169,2017-01-01 10:40:00
133.12383,2017-01-01 10:41:00
133.12239,2017-01-01 10:42:00
133.12256000000002,2017-01-01 10:43:00
133.12215,2017-01-01 10:44:00
133.12111000000002,2017-01-01 10:45:00
133.12221,2017-01-01 10:46:00
133.12184,2017-01-01 10:47:00
133.12265,2017-01-01 10:48:00
133.12122,2017-01-01 10:49:00
133.12183000000002,2017-01-01 10:50:00
133.12184,2017-01-01 10:51:00
133.12239,2017-01-01 10:52:00
133.12283,2017-01-01 10:53:00
133.12253,2017-01-01 10:54:00
133.12091,2017-01-01 10:55:00
133.12285,2017-01-01 10:56:00
133.12286,2017-01-01 10:57:00
133.1223,2017-01-01 10:58:00
133.12267,2017-01-01 10:59:00
155.41849,2017-01-01 11:00:00
155.41806,2017-01-01 11:01:00
155.4175,2017-01-01 11:02:00
155.41879,2017-01-01 11:03:00
155.41901,2017-01-01 11:04:00
155.4183,2017-01-01 11:05:00
155.41785,2017-01-01 11:06:00
155.41798,2017-01-01 11:07:00
155.41658,2017-01-01 11:08:00
155.418,2017-01-01 11:09:00
155.41731,2017-01-01 11:10:00
155.41942,2017-01-01 11:11:00
155.41789,2017-01-01 11:12:00
155.41792,2017-01-01 11:13:00
155.41832,2017-01-01 11:14:00
155.41859,2017-01-01 11:15:00
155.41836999999995,2017-01-01 11:16:00
155.41853,2017-01-01 11:17:00
155.41806,2017-01-01 11:18:00
155.4178,2017-01-01 11:19:00
