value,date
1.00569e-05,2017-01-01 00:00:00
3.3599699e-05,2017-01-01 00:01:00
1.5457314e-05,2017-01-01 00:02:00
7.1110317e-06,2017-01-01 00:03:00
3.2244472e-05,2017-01-01 00:04:00
1.483385e-05,2017-01-01 00:05:00
3.5797304e-05,2017-01-01 00:06:00
1.6468306e-05,2017-01-01 00:07:00
7.576131799999999e-06,2017-01-01 00:08:00
3.2458440000000004e-05,2017-01-01 00:09:00
1.4932284e-05,2017-01-01 00:10:00
3.5842586e-05,2017-01-01 00:11:00
1.6489137000000002e-05,2017-01-01 00:12:00
7.5857156e-06,2017-01-01 00:13:00
3.2462849000000004e-05,2017-01-01 00:14:00
1.4934312e-05,2017-01-01 00:15:00
3.5843521e-05,2017-01-01 00:16:00
1.6489566e-05,2017-01-01 00:17:00
3.6559002e-05,2017-01-01 00:18:00
1.6818722e-05,2017-01-01 00:19:00
3.6710429e-05,2017-01-01 00:20:00
1.6888383e-05,2017-01-01 00:21:00
3.6742476e-05,2017-01-01 00:22:00
1.6903126e-05,2017-01-01 00:23:00
3.6749258e-05,2017-01-01 00:24:00
1.6906246e-05,2017-01-01 00:25:00
3.6750695e-05,2017-01-01 00:26:00
1.6906906e-05,2017-01-01 00:27:00
3.6750997e-05,2017-01-01 00:28:00
1.6907046000000002e-05,2017-01-01 00:29:00
3.6751062e-05,2017-01-01 00:30:00
1.6907075e-05,2017-01-01 00:31:00
3.6751077e-05,2017-01-01 00:32:00
1.6907083e-05,2017-01-01 00:33:00
3.675108e-05,2017-01-01 00:34:00
1.6907085e-05,2017-01-01 00:35:00
3.675108e-05,2017-01-01 00:36:00
1.6907085e-05,2017-01-01 00:37:00
3.675108e-05,2017-01-01 00:38:00
1.6907085e-05,2017-01-01 00:39:00
3.675108e-05,2017-01-01 00:40:00
1.6907085e-05,2017-01-01 00:41:00
3.675108e-05,2017-01-01 00:42:00
1.6907085e-05,2017-01-01 00:43:00
3.675108e-05,2017-01-01 00:44:00
1.6907085e-05,2017-01-01 00:45:00
3.675108e-05,2017-01-01 00:46:00
1.6907085e-05,2017-01-01 00:47:00
3.675108e-05,2017-01-01 00:48:00
1.6907085e-05,2017-01-01 00:49:00
3.675108e-05,2017-01-01 00:50:00
1.6907085e-05,2017-01-01 00:51:00
3.675108e-05,2017-01-01 00:52:00
1.6907085e-05,2017-01-01 00:53:00
3.675108e-05,2017-01-01 00:54:00
1.6907085e-05,2017-01-01 00:55:00
3.675108e-05,2017-01-01 00:56:00
1.6907085e-05,2017-01-01 00:57:00
3.675108e-05,2017-01-01 00:58:00
1.6907085e-05,2017-01-01 00:59:00
8.843147e-06,2017-01-01 01:00:00
4.0682298e-06,2017-01-01 01:01:00
1.8715614e-06,2017-01-01 01:02:00
8.6099908e-07,2017-01-01 01:03:00
