date,value
2017-01-06 11:10:00,1.16207
2017-01-06 11:11:00,1.22897
2017-01-06 11:12:00,1.29586
2017-01-06 11:13:00,1.36276
2017-01-06 11:14:00,1.42966
2017-01-06 11:15:00,1.49655
2017-01-06 11:16:00,1.56345
2017-01-06 11:17:00,1.63034
2017-01-06 11:18:00,1.69724
2017-01-06 11:19:00,1.76414
2017-01-06 11:20:00,1.83103
2017-01-06 11:21:00,1.89793
2017-01-06 11:22:00,1.96483
2017-01-06 11:23:00,2.03172
2017-01-06 11:24:00,2.09862
2017-01-06 11:25:00,2.16552
2017-01-06 11:26:00,2.23241
2017-01-06 11:27:00,2.29931
2017-01-06 11:28:00,2.36621
2017-01-06 11:29:00,2.4331
2017-01-06 11:30:00,2.5
2017-01-06 11:31:00,1.66667
2017-01-06 11:32:00,0.833333
2017-01-06 11:33:00,0.913725
2017-01-06 11:34:00,0.994118
2017-01-06 11:35:00,1.07451
2017-01-06 11:36:00,1.1549
2017-01-06 11:37:00,1.23529
2017-01-06 11:38:00,1.31569
2017-01-06 11:39:00,1.39608
2017-01-06 11:40:00,1.47647
2017-01-06 11:41:00,1.55686
2017-01-06 11:42:00,1.63725
2017-01-06 11:43:00,1.71765
2017-01-06 11:44:00,1.79804
2017-01-06 11:45:00,1.87843
2017-01-06 11:46:00,1.95882
2017-01-06 11:47:00,2.03922
2017-01-06 11:48:00,2.11961
2017-01-06 11:49:00,2.2
2017-01-06 11:50:00,1.83333
2017-01-06 11:51:00,1.46667
2017-01-06 11:52:00,1.1
2017-01-06 11:53:00,0.733333
2017-01-06 11:54:00,0.366667
2017-01-06 11:55:00,0.4375
2017-01-06 11:56:00,0.508333
2017-01-06 11:57:00,0.579167
2017-01-06 11:58:00,0.65
2017-01-06 11:59:00,0.720833
2017-01-06 12:00:00,0.791667
2017-01-06 12:01:00,0.8625
2017-01-06 12:02:00,0.933333
2017-01-06 12:03:00,1.00417
2017-01-06 12:04:00,1.075
2017-01-06 12:05:00,1.14583
2017-01-06 12:06:00,1.21667
2017-01-06 12:07:00,1.2875
2017-01-06 12:08:00,1.35833
2017-01-06 12:09:00,1.42917
2017-01-06 12:10:00,1.5
2017-01-06 12:11:00,2.0
2017-01-06 12:12:00,2.5
2017-01-06 12:13:00,3.0
2017-01-06 12:14:00,2.1
2017-01-06 12:15:00,1.2
2017-01-06 12:16:00,2.0
2017-01-06 12:17:00,3.1
2017-01-06 12:18:00,2.76
2017-01-06 12:19:00,2.42
2017-01-06 12:20:00,2.08
2017-01-06 12:21:00,1.74
2017-01-06 12:22:00,1.4
2017-01-06 12:23:00,1.4
2017-01-06 12:24:00,1.53333
2017-01-06 12:25:00,1.66667
2017-01-06 12:26:00,1.8
2017-01-06 12:27:00,1.93333
2017-01-06 12:28:00,2.06667
2017-01-06 12:29:00,2.2
2017-01-06 12:30:00,2.2
2017-01-06 12:31:00,2.33333
2017-01-06 12:32:00,2.46667
2017-01-06 12:33:00,2.6
2017-01-06 12:34:00,2.42
2017-01-06 12:35:00,2.24
2017-01-06 12:36:00,2.06
2017-01-06 12:37:00,1.88
2017-01-06 12:38:00,1.7
2017-01-06 12:39:00,1.86667
2017-01-06 12:40:00,2.03333
2017-01-06 12:41:00,2.2
2017-01-06 12:42:00,1.25
2017-01-06 12:43:00,0.3
2017-01-06 12:44:00,0.6
2017-01-06 12:45:00,0.9
2017-01-06 12:46:00,1.2
