date,value
2017-01-06 08:31:00,49.4286
2017-01-06 08:32:00,49.0
2017-01-06 08:33:00,52.6
2017-01-06 08:34:00,50.46
2017-01-06 08:35:00,48.32
2017-01-06 08:36:00,46.18
2017-01-06 08:37:00,44.04
2017-01-06 08:38:00,41.9
2017-01-06 08:39:00,41.4857
2017-01-06 08:40:00,41.0714
2017-01-06 08:41:00,40.6571
2017-01-06 08:42:00,40.2429
2017-01-06 08:43:00,39.8286
2017-01-06 08:44:00,39.4143
2017-01-06 08:45:00,39.0
2017-01-06 08:46:00,38.4
2017-01-06 08:47:00,37.5
2017-01-06 08:48:00,39.85
2017-01-06 08:49:00,42.2
2017-01-06 08:50:00,42.3
2017-01-06 08:51:00,42.4
2017-01-06 08:52:00,42.5
2017-01-06 08:53:00,43.4
2017-01-06 08:54:00,41.65
2017-01-06 08:55:00,39.9
2017-01-06 08:56:00,41.45
2017-01-06 08:57:00,43.0
2017-01-06 08:58:00,44.55
2017-01-06 08:59:00,46.1
2017-01-06 09:00:00,53.5
2017-01-06 09:01:00,60.9
2017-01-06 09:02:00,68.3
2017-01-06 09:03:00,67.4
2017-01-06 09:04:00,66.5
2017-01-06 09:05:00,65.6
2017-01-06 09:06:00,64.7
2017-01-06 09:07:00,66.3
2017-01-06 09:08:00,67.9
2017-01-06 09:09:00,69.5
2017-01-06 09:10:00,67.4
2017-01-06 09:11:00,65.3
2017-01-06 09:12:00,66.2
2017-01-06 09:13:00,63.9333
2017-01-06 09:14:00,61.6667
2017-01-06 09:15:00,59.4
2017-01-06 09:16:00,55.02
2017-01-06 09:17:00,50.64
2017-01-06 09:18:00,46.26
2017-01-06 09:19:00,41.88
2017-01-06 09:20:00,37.5
2017-01-06 09:21:00,37.75
2017-01-06 09:22:00,38.0
2017-01-06 09:23:00,38.25
2017-01-06 09:24:00,38.5
2017-01-06 09:25:00,38.75
2017-01-06 09:26:00,39.0
2017-01-06 09:27:00,39.6
2017-01-06 09:28:00,38.775
2017-01-06 09:29:00,37.95
2017-01-06 09:30:00,37.125
2017-01-06 09:31:00,36.3
2017-01-06 09:32:00,38.7
2017-01-06 09:33:00,51.4
2017-01-06 09:34:00,50.4818
2017-01-06 09:35:00,49.5636
2017-01-06 09:36:00,48.6455
2017-01-06 09:37:00,47.7273
2017-01-06 09:38:00,46.8091
2017-01-06 09:39:00,45.8909
2017-01-06 09:40:00,44.9727
2017-01-06 09:41:00,44.0545
2017-01-06 09:42:00,43.1364
2017-01-06 09:43:00,42.2182
2017-01-06 09:44:00,41.3
2017-01-06 09:45:00,41.75
2017-01-06 09:46:00,42.2
2017-01-06 09:47:00,42.65
2017-01-06 09:48:00,43.1
2017-01-06 09:49:00,43.55
2017-01-06 09:50:00,44.0
2017-01-06 09:51:00,38.7
2017-01-06 09:52:00,38.2
2017-01-06 09:53:00,37.7
2017-01-06 09:54:00,37.2
2017-01-06 09:55:00,36.6
2017-01-06 09:56:00,36.0
2017-01-06 09:57:00,35.4
2017-01-06 09:58:00,34.8
2017-01-06 09:59:00,34.2
2017-01-06 10:00:00,33.6
2017-01-06 10:01:00,38.7
2017-01-06 10:02:00,40.175
2017-01-06 10:03:00,41.65
2017-01-06 10:04:00,43.125
2017-01-06 10:05:00,44.6
2017-01-06 10:06:00,46.075
2017-01-06 10:07:00,47.55
2017-01-06 10:08:00,49.025
2017-01-06 10:09:00,50.5
2017-01-06 10:10:00,46.65
2017-01-06 10:11:00,42.8
2017-01-06 10:12:00,43.4
2017-01-06 10:13:00,46.2
2017-01-06 10:14:00,49.0
2017-01-06 10:15:00,49.24
2017-01-06 10:16:00,49.48
2017-01-06 10:17:00,49.72
2017-01-06 10:18:00,49.96
2017-01-06 10:19:00,50.2
2017-01-06 10:20:00,49.3
2017-01-06 10:21:00,45.675
2017-01-06 10:22:00,42.05
2017-01-06 10:23:00,38.425
2017-01-06 10:24:00,34.8
2017-01-06 10:25:00,36.9
2017-01-06 10:26:00,36.3
2017-01-06 10:27:00,35.7
2017-01-06 10:28:00,35.1
2017-01-06 10:29:00,35.7
2017-01-06 10:30:00,36.3
2017-01-06 10:31:00,36.9
2017-01-06 10:32:00,35.6333
2017-01-06 10:33:00,34.3667
2017-01-06 10:34:00,33.1
2017-01-06 10:35:00,35.6
2017-01-06 10:36:00,38.1
2017-01-06 10:37:00,39.8
2017-01-06 10:38:00,41.5
2017-01-06 10:39:00,43.2
2017-01-06 10:40:00,44.9
2017-01-06 10:41:00,44.5625
2017-01-06 10:42:00,44.225
2017-01-06 10:43:00,43.8875
2017-01-06 10:44:00,43.55
2017-01-06 10:45:00,43.2125
2017-01-06 10:46:00,42.875
2017-01-06 10:47:00,42.5375
2017-01-06 10:48:00,42.2
2017-01-06 10:49:00,43.1
2017-01-06 10:50:00,48.7
2017-01-06 10:51:00,43.4
2017-01-06 10:52:00,38.1
2017-01-06 10:53:00,40.46
2017-01-06 10:54:00,42.82
2017-01-06 10:55:00,45.18
2017-01-06 10:56:00,47.54
2017-01-06 10:57:00,49.9
2017-01-06 10:58:00,45.82
2017-01-06 10:59:00,41.74
2017-01-06 11:00:00,37.66
2017-01-06 11:01:00,33.58
2017-01-06 11:02:00,29.5
2017-01-06 11:03:00,33.1
2017-01-06 11:04:00,33.05
2017-01-06 11:05:00,33.0
2017-01-06 11:06:00,32.95
2017-01-06 11:07:00,32.9
2017-01-06 11:08:00,32.85
2017-01-06 11:09:00,32.8
2017-01-06 11:10:00,36.3
2017-01-06 11:11:00,35.6167
2017-01-06 11:12:00,34.9333
2017-01-06 11:13:00,34.25
2017-01-06 11:14:00,33.5667
2017-01-06 11:15:00,32.8833
2017-01-06 11:16:00,32.2
2017-01-06 11:17:00,35.4
2017-01-06 11:18:00,37.95
2017-01-06 11:19:00,40.5
2017-01-06 11:20:00,36.0
2017-01-06 11:21:00,35.4111
2017-01-06 11:22:00,34.8222
2017-01-06 11:23:00,34.2333
2017-01-06 11:24:00,33.6444
2017-01-06 11:25:00,33.0556
2017-01-06 11:26:00,32.4667
2017-01-06 11:27:00,31.8778
2017-01-06 11:28:00,31.2889
2017-01-06 11:29:00,30.7
2017-01-06 11:30:00,33.1
2017-01-06 11:31:00,32.4
2017-01-06 11:32:00,31.7
2017-01-06 11:33:00,31.0
2017-01-06 11:34:00,36.6
2017-01-06 11:35:00,38.6667
2017-01-06 11:36:00,40.7333
2017-01-06 11:37:00,42.8
2017-01-06 11:38:00,41.5875
2017-01-06 11:39:00,40.375
2017-01-06 11:40:00,39.1625
2017-01-06 11:41:00,37.95
2017-01-06 11:42:00,36.7375
2017-01-06 11:43:00,35.525
2017-01-06 11:44:00,34.3125
2017-01-06 11:45:00,33.1
2017-01-06 11:46:00,31.7
2017-01-06 11:47:00,30.3
2017-01-06 11:48:00,28.9
2017-01-06 11:49:00,26.2
2017-01-06 11:50:00,25.8667
2017-01-06 11:51:00,25.5333
2017-01-06 11:52:00,25.2
2017-01-06 11:53:00,24.8667
2017-01-06 11:54:00,24.5333
2017-01-06 11:55:00,24.2
2017-01-06 11:56:00,28.0
2017-01-06 11:57:00,36.3
2017-01-06 11:58:00,34.6167
2017-01-06 11:59:00,32.9333
2017-01-06 12:00:00,31.25
2017-01-06 12:01:00,29.5667
2017-01-06 12:02:00,27.8833
2017-01-06 12:03:00,26.2
2017-01-06 12:04:00,27.7333
2017-01-06 12:05:00,29.2667
