date,value
2017-01-06 08:31:00,23.9143
2017-01-06 08:32:00,24.1
2017-01-06 08:33:00,19.0
2017-01-06 08:34:00,21.46
2017-01-06 08:35:00,23.92
2017-01-06 08:36:00,26.38
2017-01-06 08:37:00,28.84
2017-01-06 08:38:00,31.3
2017-01-06 08:39:00,31.4857
2017-01-06 08:40:00,31.6714
2017-01-06 08:41:00,31.8571
2017-01-06 08:42:00,32.0429
2017-01-06 08:43:00,32.2286
2017-01-06 08:44:00,32.4143
2017-01-06 08:45:00,32.6
2017-01-06 08:46:00,24.0
2017-01-06 08:47:00,29.5
2017-01-06 08:48:00,30.7
2017-01-06 08:49:00,31.9
2017-01-06 08:50:00,30.5667
2017-01-06 08:51:00,29.2333
2017-01-06 08:52:00,27.9
2017-01-06 08:53:00,36.4
2017-01-06 08:54:00,35.1
2017-01-06 08:55:00,33.8
2017-01-06 08:56:00,34.125
2017-01-06 08:57:00,34.45
2017-01-06 08:58:00,34.775
2017-01-06 08:59:00,35.1
2017-01-06 09:00:00,33.9333
2017-01-06 09:01:00,32.7667
2017-01-06 09:02:00,31.6
2017-01-06 09:03:00,31.8
2017-01-06 09:04:00,32.0
2017-01-06 09:05:00,32.2
2017-01-06 09:06:00,32.4
2017-01-06 09:07:00,35.2
2017-01-06 09:08:00,38.0
2017-01-06 09:09:00,40.8
2017-01-06 09:10:00,46.85
2017-01-06 09:11:00,52.9
2017-01-06 09:12:00,36.6
2017-01-06 09:13:00,35.6667
2017-01-06 09:14:00,34.7333
2017-01-06 09:15:00,33.8
2017-01-06 09:16:00,32.22
2017-01-06 09:17:00,30.64
2017-01-06 09:18:00,29.06
2017-01-06 09:19:00,27.48
2017-01-06 09:20:00,25.9
2017-01-06 09:21:00,25.6667
2017-01-06 09:22:00,25.4333
2017-01-06 09:23:00,25.2
2017-01-06 09:24:00,24.9667
2017-01-06 09:25:00,24.7333
2017-01-06 09:26:00,24.5
2017-01-06 09:27:00,22.0
2017-01-06 09:28:00,22.7
2017-01-06 09:29:00,23.4
2017-01-06 09:30:00,24.1
2017-01-06 09:31:00,24.8
2017-01-06 09:32:00,26.4
2017-01-06 09:33:00,13.1
2017-01-06 09:34:00,13.1545
2017-01-06 09:35:00,13.2091
2017-01-06 09:36:00,13.2636
2017-01-06 09:37:00,13.3182
2017-01-06 09:38:00,13.3727
2017-01-06 09:39:00,13.4273
2017-01-06 09:40:00,13.4818
2017-01-06 09:41:00,13.5364
2017-01-06 09:42:00,13.5909
2017-01-06 09:43:00,13.6455
2017-01-06 09:44:00,13.7
2017-01-06 09:45:00,14.9667
2017-01-06 09:46:00,16.2333
2017-01-06 09:47:00,17.5
2017-01-06 09:48:00,18.7667
2017-01-06 09:49:00,20.0333
2017-01-06 09:50:00,21.3
2017-01-06 09:51:00,22.4
2017-01-06 09:52:00,19.9333
2017-01-06 09:53:00,17.4667
2017-01-06 09:54:00,15.0
2017-01-06 09:55:00,15.2833
2017-01-06 09:56:00,15.5667
2017-01-06 09:57:00,15.85
2017-01-06 09:58:00,16.1333
2017-01-06 09:59:00,16.4167
2017-01-06 10:00:00,16.7
2017-01-06 10:01:00,23.8
2017-01-06 10:02:00,22.6875
2017-01-06 10:03:00,21.575
2017-01-06 10:04:00,20.4625
2017-01-06 10:05:00,19.35
2017-01-06 10:06:00,18.2375
2017-01-06 10:07:00,17.125
2017-01-06 10:08:00,16.0125
2017-01-06 10:09:00,14.9
2017-01-06 10:10:00,15.0
2017-01-06 10:11:00,15.1
2017-01-06 10:12:00,20.1
2017-01-06 10:13:00,18.5
2017-01-06 10:14:00,16.9
2017-01-06 10:15:00,16.46
2017-01-06 10:16:00,16.02
2017-01-06 10:17:00,15.58
2017-01-06 10:18:00,15.14
2017-01-06 10:19:00,14.7
2017-01-06 10:20:00,23.8
2017-01-06 10:21:00,21.775
2017-01-06 10:22:00,19.75
2017-01-06 10:23:00,17.725
2017-01-06 10:24:00,15.7
2017-01-06 10:25:00,19.6
2017-01-06 10:26:00,17.2333
2017-01-06 10:27:00,14.8667
2017-01-06 10:28:00,12.5
2017-01-06 10:29:00,15.5333
2017-01-06 10:30:00,18.5667
2017-01-06 10:31:00,21.6
2017-01-06 10:32:00,19.8333
2017-01-06 10:33:00,18.0667
2017-01-06 10:34:00,16.3
2017-01-06 10:35:00,15.55
2017-01-06 10:36:00,14.8
2017-01-06 10:37:00,14.325
2017-01-06 10:38:00,13.85
2017-01-06 10:39:00,13.375
2017-01-06 10:40:00,12.9
2017-01-06 10:41:00,12.675
2017-01-06 10:42:00,12.45
2017-01-06 10:43:00,12.225
2017-01-06 10:44:00,12.0
2017-01-06 10:45:00,11.775
2017-01-06 10:46:00,11.55
2017-01-06 10:47:00,11.325
2017-01-06 10:48:00,11.1
2017-01-06 10:49:00,13.8
2017-01-06 10:50:00,17.9
2017-01-06 10:51:00,14.75
2017-01-06 10:52:00,11.6
