date,value
2017-01-06 08:31:00,73.3143
2017-01-06 08:32:00,70.9
2017-01-06 08:33:00,75.5
2017-01-06 08:34:00,74.4
2017-01-06 08:35:00,73.3
2017-01-06 08:36:00,72.2
2017-01-06 08:37:00,71.1
2017-01-06 08:38:00,70.0
2017-01-06 08:39:00,68.7143
2017-01-06 08:40:00,67.4286
2017-01-06 08:41:00,66.1429
2017-01-06 08:42:00,64.8571
2017-01-06 08:43:00,63.5714
2017-01-06 08:44:00,62.2857
2017-01-06 08:45:00,61.0
2017-01-06 08:46:00,56.1
2017-01-06 08:47:00,57.2
2017-01-06 08:48:00,57.6
2017-01-06 08:49:00,58.0
2017-01-06 08:50:00,59.1333
2017-01-06 08:51:00,60.2667
2017-01-06 08:52:00,61.4
2017-01-06 08:53:00,64.6
2017-01-06 08:54:00,66.55
2017-01-06 08:55:00,68.5
2017-01-06 08:56:00,69.675
2017-01-06 08:57:00,70.85
2017-01-06 08:58:00,72.025
2017-01-06 08:59:00,73.2
2017-01-06 09:00:00,77.2
2017-01-06 09:01:00,81.2
2017-01-06 09:02:00,85.2
2017-01-06 09:03:00,86.475
2017-01-06 09:04:00,87.75
2017-01-06 09:05:00,89.025
2017-01-06 09:06:00,90.3
2017-01-06 09:07:00,90.7
2017-01-06 09:08:00,91.1
2017-01-06 09:09:00,91.5
2017-01-06 09:10:00,91.15
2017-01-06 09:11:00,90.8
2017-01-06 09:12:00,92.6
2017-01-06 09:13:00,87.7
2017-01-06 09:14:00,82.8
2017-01-06 09:15:00,77.9
2017-01-06 09:16:00,78.56
2017-01-06 09:17:00,79.22
2017-01-06 09:18:00,79.88
2017-01-06 09:19:00,80.54
2017-01-06 09:20:00,81.2
2017-01-06 09:21:00,93.2333
2017-01-06 09:22:00,105.267
2017-01-06 09:23:00,117.3
2017-01-06 09:24:00,129.333
2017-01-06 09:25:00,141.367
2017-01-06 09:26:00,153.4
2017-01-06 09:27:00,155.8
2017-01-06 09:28:00,137.25
2017-01-06 09:29:00,118.7
2017-01-06 09:30:00,100.15
2017-01-06 09:31:00,81.6
2017-01-06 09:32:00,62.3
2017-01-06 09:33:00,78.4
2017-01-06 09:34:00,77.1909
2017-01-06 09:35:00,75.9818
2017-01-06 09:36:00,74.7727
2017-01-06 09:37:00,73.5636
2017-01-06 09:38:00,72.3545
2017-01-06 09:39:00,71.1455
2017-01-06 09:40:00,69.9364
2017-01-06 09:41:00,68.7273
2017-01-06 09:42:00,67.5182
2017-01-06 09:43:00,66.3091
2017-01-06 09:44:00,65.1
2017-01-06 09:45:00,66.7333
2017-01-06 09:46:00,68.3667
2017-01-06 09:47:00,70.0
2017-01-06 09:48:00,71.6333
2017-01-06 09:49:00,73.2667
2017-01-06 09:50:00,74.9
2017-01-06 09:51:00,68.3
2017-01-06 09:52:00,77.5
2017-01-06 09:53:00,86.7
2017-01-06 09:54:00,95.9
2017-01-06 09:55:00,94.5
2017-01-06 09:56:00,93.1
2017-01-06 09:57:00,91.7
2017-01-06 09:58:00,90.3
2017-01-06 09:59:00,88.9
2017-01-06 10:00:00,87.5
2017-01-06 10:01:00,91.7
2017-01-06 10:02:00,93.7125
2017-01-06 10:03:00,95.725
2017-01-06 10:04:00,97.7375
2017-01-06 10:05:00,99.75
2017-01-06 10:06:00,101.762
2017-01-06 10:07:00,103.775
2017-01-06 10:08:00,105.787
2017-01-06 10:09:00,107.8
2017-01-06 10:10:00,101.95
2017-01-06 10:11:00,96.1
2017-01-06 10:12:00,99.4
2017-01-06 10:13:00,101.85
2017-01-06 10:14:00,104.3
2017-01-06 10:15:00,105.14
2017-01-06 10:16:00,105.98
2017-01-06 10:17:00,106.82
2017-01-06 10:18:00,107.66
2017-01-06 10:19:00,108.5
2017-01-06 10:20:00,98.8
2017-01-06 10:21:00,93.9
2017-01-06 10:22:00,89.0
2017-01-06 10:23:00,84.1
2017-01-06 10:24:00,79.2
2017-01-06 10:25:00,88.0
2017-01-06 10:26:00,88.7333
2017-01-06 10:27:00,89.4667
2017-01-06 10:28:00,90.2
2017-01-06 10:29:00,90.2333
2017-01-06 10:30:00,90.2667
2017-01-06 10:31:00,90.3
2017-01-06 10:32:00,87.4333
2017-01-06 10:33:00,84.5667
2017-01-06 10:34:00,81.7
2017-01-06 10:35:00,86.05
2017-01-06 10:36:00,90.4
2017-01-06 10:37:00,86.7
2017-01-06 10:38:00,83.0
2017-01-06 10:39:00,79.3
2017-01-06 10:40:00,75.6
2017-01-06 10:41:00,75.7375
2017-01-06 10:42:00,75.875
2017-01-06 10:43:00,76.0125
2017-01-06 10:44:00,76.15
2017-01-06 10:45:00,76.2875
2017-01-06 10:46:00,76.425
2017-01-06 10:47:00,76.5625
2017-01-06 10:48:00,76.7
2017-01-06 10:49:00,74.8
2017-01-06 10:50:00,81.1
2017-01-06 10:51:00,80.6
2017-01-06 10:52:00,80.1
2017-01-06 10:53:00,81.2
2017-01-06 10:54:00,82.3
2017-01-06 10:55:00,83.4
2017-01-06 10:56:00,84.5
2017-01-06 10:57:00,85.6
2017-01-06 10:58:00,84.14
2017-01-06 10:59:00,82.68
2017-01-06 11:00:00,81.22
2017-01-06 11:01:00,79.76
2017-01-06 11:02:00,78.3
2017-01-06 11:03:00,85.1
2017-01-06 11:04:00,84.7833
2017-01-06 11:05:00,84.4667
2017-01-06 11:06:00,84.15
2017-01-06 11:07:00,83.8333
2017-01-06 11:08:00,83.5167
2017-01-06 11:09:00,83.2
2017-01-06 11:10:00,79.6
2017-01-06 11:11:00,80.3333
2017-01-06 11:12:00,81.0667
2017-01-06 11:13:00,81.8
2017-01-06 11:14:00,82.5333
2017-01-06 11:15:00,83.2667
2017-01-06 11:16:00,84.0
2017-01-06 11:17:00,84.3
2017-01-06 11:18:00,88.4
2017-01-06 11:19:00,92.5
2017-01-06 11:20:00,84.3
2017-01-06 11:21:00,81.4111
2017-01-06 11:22:00,78.5222
2017-01-06 11:23:00,75.6333
2017-01-06 11:24:00,72.7444
2017-01-06 11:25:00,69.8556
2017-01-06 11:26:00,66.9667
2017-01-06 11:27:00,64.0778
2017-01-06 11:28:00,61.1889
2017-01-06 11:29:00,58.3
2017-01-06 11:30:00,59.4
2017-01-06 11:31:00,55.6
2017-01-06 11:32:00,51.8
2017-01-06 11:33:00,48.0
2017-01-06 11:34:00,56.4
2017-01-06 11:35:00,57.8
2017-01-06 11:36:00,59.2
2017-01-06 11:37:00,60.6
2017-01-06 11:38:00,59.65
2017-01-06 11:39:00,58.7
2017-01-06 11:40:00,57.75
2017-01-06 11:41:00,56.8
2017-01-06 11:42:00,55.85
2017-01-06 11:43:00,54.9
2017-01-06 11:44:00,53.95
2017-01-06 11:45:00,53.0
2017-01-06 11:46:00,51.6
2017-01-06 11:47:00,50.2
2017-01-06 11:48:00,48.8
2017-01-06 11:49:00,45.6
2017-01-06 11:50:00,46.0
2017-01-06 11:51:00,46.4
2017-01-06 11:52:00,46.8
2017-01-06 11:53:00,47.2
2017-01-06 11:54:00,47.6
2017-01-06 11:55:00,48.0
2017-01-06 11:56:00,48.7
2017-01-06 11:57:00,120.3
2017-01-06 11:58:00,118.383
2017-01-06 11:59:00,116.467
2017-01-06 12:00:00,114.55
2017-01-06 12:01:00,112.633
2017-01-06 12:02:00,110.717
2017-01-06 12:03:00,108.8
2017-01-06 12:04:00,99.5
2017-01-06 12:05:00,90.2
2017-01-06 12:06:00,80.9
2017-01-06 12:07:00,71.6
2017-01-06 12:08:00,62.3
2017-01-06 12:09:00,53.0
2017-01-06 12:10:00,52.3
2017-01-06 12:11:00,53.4667
2017-01-06 12:12:00,54.6333
2017-01-06 12:13:00,55.8
2017-01-06 12:14:00,58.45
2017-01-06 12:15:00,61.1
2017-01-06 12:16:00,50.3
2017-01-06 12:17:00,47.6
2017-01-06 12:18:00,47.04
2017-01-06 12:19:00,46.48
2017-01-06 12:20:00,45.92
2017-01-06 12:21:00,45.36
2017-01-06 12:22:00,44.8
2017-01-06 12:23:00,52.9
