date,value
2017-01-06 08:31:00,15.8857
2017-01-06 08:32:00,15.8
2017-01-06 08:33:00,22.1
2017-01-06 08:34:00,23.26
2017-01-06 08:35:00,24.42
2017-01-06 08:36:00,25.58
2017-01-06 08:37:00,26.74
2017-01-06 08:38:00,27.9
2017-01-06 08:39:00,27.2
2017-01-06 08:40:00,26.5
2017-01-06 08:41:00,25.8
2017-01-06 08:42:00,25.1
2017-01-06 08:43:00,24.4
2017-01-06 08:44:00,23.7
2017-01-06 08:45:00,23.0
2017-01-06 08:46:00,20.8
2017-01-06 08:47:00,25.9
2017-01-06 08:48:00,23.15
2017-01-06 08:49:00,20.4
2017-01-06 08:50:00,20.8333
2017-01-06 08:51:00,21.2667
2017-01-06 08:52:00,21.7
2017-01-06 08:53:00,24.1
2017-01-06 08:54:00,23.75
2017-01-06 08:55:00,23.4
2017-01-06 08:56:00,26.25
2017-01-06 08:57:00,29.1
2017-01-06 08:58:00,31.95
2017-01-06 08:59:00,34.8
2017-01-06 09:00:00,34.8
2017-01-06 09:01:00,34.8
2017-01-06 09:02:00,34.8
2017-01-06 09:03:00,35.975
2017-01-06 09:04:00,37.15
2017-01-06 09:05:00,38.325
2017-01-06 09:06:00,39.5
2017-01-06 09:07:00,37.1
2017-01-06 09:08:00,34.7
2017-01-06 09:09:00,32.3
2017-01-06 09:10:00,38.4
2017-01-06 09:11:00,44.5
2017-01-06 09:12:00,32.9
2017-01-06 09:13:00,30.8667
2017-01-06 09:14:00,28.8333
2017-01-06 09:15:00,26.8
2017-01-06 09:16:00,26.36
2017-01-06 09:17:00,25.92
2017-01-06 09:18:00,25.48
2017-01-06 09:19:00,25.04
2017-01-06 09:20:00,24.6
2017-01-06 09:21:00,23.2833
2017-01-06 09:22:00,21.9667
2017-01-06 09:23:00,20.65
2017-01-06 09:24:00,19.3333
2017-01-06 09:25:00,18.0167
2017-01-06 09:26:00,16.7
2017-01-06 09:27:00,12.3
2017-01-06 09:28:00,14.0
2017-01-06 09:29:00,15.7
2017-01-06 09:30:00,17.4
2017-01-06 09:31:00,19.1
2017-01-06 09:32:00,21.1
2017-01-06 09:33:00,19.0
2017-01-06 09:34:00,18.0727
2017-01-06 09:35:00,17.1455
2017-01-06 09:36:00,16.2182
